time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,target_score
1654495200,4ca765,51.50000000,4.50000000,252.00,90.00,20.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495199.50,1654495200,0.80
1654495202,4ca765,51.50000000,4.50720089,240.03,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495201.50,1654495202,0.00
1654495204,4ca765,51.50000000,4.51440083,240.00,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495203.50,1654495204,0.00
1654495206,4ca765,51.50000000,4.52160161,240.03,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495205.50,1654495206,0.00
1654495208,4ca765,51.50000000,4.52880268,240.04,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495207.50,1654495208,0.00
1654495210,4ca765,51.50000000,4.53600359,240.03,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495209.50,1654495210,0.00
1654495212,4ca765,51.50000000,4.54320329,239.99,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495211.50,1654495212,0.00
1654495214,4ca765,51.50000000,4.55040288,239.99,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495213.50,1654495214,0.00
1654495216,4ca765,51.50000000,4.55760196,239.97,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495215.50,1654495216,0.00
1654495218,4ca765,51.50000000,4.56479998,239.93,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495217.50,1654495218,0.00
1654495220,4ca765,51.50000000,4.57199844,239.95,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495219.50,1654495220,0.00
1654495222,4ca765,51.50000000,4.57919558,239.90,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495221.50,1654495222,0.00
1654495224,4ca765,51.50000000,4.58639338,239.93,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495223.50,1654495224,0.00
1654495226,4ca765,51.50000000,4.59359250,239.97,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495225.50,1654495226,0.00
1654495228,4ca765,51.50000000,4.60079012,239.92,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495227.50,1654495228,0.00
1654495230,4ca765,51.50000000,4.60798922,239.97,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495229.50,1654495230,0.00
1654495232,4ca765,51.50000000,4.61518867,239.98,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495231.50,1654495232,0.00
1654495234,4ca765,51.50000000,4.62238845,239.99,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495233.50,1654495234,0.00
1654495236,4ca765,51.50000000,4.62958676,239.94,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495235.50,1654495236,0.00
1654495238,4ca765,51.50000000,4.63678363,239.90,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495237.50,1654495238,0.00
1654495240,4ca765,51.50000000,4.64398058,239.90,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495239.50,1654495240,0.00
1654495242,4ca765,51.50000000,4.65117723,239.89,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495241.50,1654495242,0.00
1654495244,4ca765,51.50000000,4.65837252,239.84,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495243.50,1654495244,0.00
1654495246,4ca765,51.50000000,4.66556923,239.89,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495245.50,1654495246,0.00
1654495248,4ca765,51.50000000,4.67276514,239.86,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495247.50,1654495248,0.00
1654495250,4ca765,51.50000000,4.67995982,239.82,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495249.50,1654495250,0.00
1654495252,4ca765,51.50000000,4.68715485,239.83,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495251.50,1654495252,0.00
1654495254,4ca765,51.50000000,4.69434954,239.82,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495253.50,1654495254,0.00
1654495256,4ca765,51.50000000,4.70154567,239.87,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495255.50,1654495256,0.00
1654495258,4ca765,51.50000000,4.70874170,239.87,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495257.50,1654495258,0.00
1654495260,4ca765,51.50000000,4.71593881,239.90,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495259.50,1654495260,0.00
1654495262,4ca765,51.50000000,4.72313647,239.92,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495261.50,1654495262,0.00
1654495264,4ca765,51.50000000,4.73033397,239.92,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495263.50,1654495264,0.00
1654495266,4ca765,51.50000000,4.73753002,239.87,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495265.50,1654495266,0.00
1654495268,4ca765,51.50000000,4.74472739,239.91,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495267.50,1654495268,0.00
1654495270,4ca765,51.50000000,4.75192495,239.92,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495269.50,1654495270,0.00
1654495272,4ca765,51.50000000,4.75912216,239.91,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495271.50,1654495272,0.00
1654495274,4ca765,51.50000000,4.76631793,239.86,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495273.50,1654495274,0.00
1654495276,4ca765,51.50000000,4.77351289,239.83,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495275.50,1654495276,0.00
1654495278,4ca765,51.50000000,4.78070707,239.81,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495277.50,1654495278,0.00
1654495280,4ca765,51.50000000,4.78790180,239.82,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495279.50,1654495280,0.00
1654495282,4ca765,51.50000000,4.79509686,239.84,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495281.50,1654495282,0.00
1654495284,4ca765,51.50000000,4.80229292,239.87,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495283.50,1654495284,0.00
1654495286,4ca765,51.50000000,4.80948800,239.84,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495285.50,1654495286,0.00
1654495288,4ca765,51.50000000,4.81668276,239.83,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495287.50,1654495288,0.00
1654495290,4ca765,51.50000000,4.82387656,239.79,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495289.50,1654495290,0.00
1654495292,4ca765,51.50000000,4.83107112,239.82,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495291.50,1654495292,0.00
1654495294,4ca765,51.50000000,4.83826546,239.81,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495293.50,1654495294,0.00
1654495296,4ca765,51.50000000,4.84545893,239.78,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495295.50,1654495296,0.00
1654495298,4ca765,51.50000000,4.85265260,239.79,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495297.50,1654495298,0.00
1654495300,4ca765,51.50000000,4.85984486,245.74,90.00,10.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495299.50,1654495300,0.50
1654495302,4ca765,51.50000000,4.86703815,239.78,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495301.50,1654495302,0.00
1654495304,4ca765,51.50000000,4.87423129,239.77,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495303.50,1654495304,0.00
1654495306,4ca765,51.50000000,4.88142411,239.76,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495305.50,1654495306,0.00
1654495308,4ca765,51.50000000,4.88861822,239.80,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495307.50,1654495308,0.00
1654495310,4ca765,51.50000000,4.89581300,239.83,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495309.50,1654495310,0.00
1654495312,4ca765,51.50000000,4.90300727,239.81,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495311.50,1654495312,0.00
1654495314,4ca765,51.50000000,4.91020175,239.82,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495313.50,1654495314,0.00
1654495316,4ca765,51.50000000,4.91739629,239.82,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495315.50,1654495316,0.00
1654495318,4ca765,51.50000000,4.92459221,239.86,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495317.50,1654495318,0.00
1654495320,4ca765,51.50000000,4.93178917,239.90,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495319.50,1654495320,0.00
1654495322,4ca765,51.50000000,4.93898687,239.92,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495321.50,1654495322,0.00
1654495324,4ca765,51.50000000,4.94618468,239.93,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495323.50,1654495324,0.00
1654495326,4ca765,51.50000000,4.95338276,239.94,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495325.50,1654495326,0.00
1654495328,4ca765,51.50000000,4.96058224,239.98,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495327.50,1654495328,0.00
1654495330,4ca765,51.50000000,4.96778203,239.99,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495329.50,1654495330,0.00
1654495332,4ca765,51.50000000,4.97498115,239.97,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495331.50,1654495332,0.00
1654495334,4ca765,51.50000000,4.98217966,239.95,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495333.50,1654495334,0.00
1654495336,4ca765,51.50000000,4.98937717,239.92,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495335.50,1654495336,0.00
1654495338,4ca765,51.50000000,4.99657323,239.87,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495337.50,1654495338,0.00
1654495340,4ca765,51.50000000,5.00376905,239.86,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495339.50,1654495340,0.00
1654495342,4ca765,51.50000000,5.01096456,239.85,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495341.50,1654495342,0.00
1654495344,4ca765,51.50000000,5.01815945,239.83,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495343.50,1654495344,0.00
1654495346,4ca765,51.50000000,5.02535288,239.78,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495345.50,1654495346,0.00
1654495348,4ca765,51.50000000,5.03254541,239.75,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495347.50,1654495348,0.00
1654495350,4ca765,51.50000000,5.03973857,239.77,90.00,0.00,STRESS_TEST,False,False,False,1000,11000.00,11050.00,1654495349.50,1654495350,0.00
