time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,target_score
1654495200,4ca765,51.00000000,4.00000000,220.50,90.00,0.00,BOUND_TEST,False,False,False,1000,10950.00,11000.00,1654495199.50,1654495200,1.00
1654495202,4ca765,51.00000000,4.00690074,230.02,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495201.50,1654495202,0.00
1654495204,4ca765,51.00000000,4.01380308,230.08,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495203.50,1654495204,0.00
1654495206,4ca765,51.00000000,4.02070709,230.13,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495205.50,1654495206,0.00
1654495208,4ca765,51.00000000,4.02760868,230.05,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495207.50,1654495208,0.00
1654495210,4ca765,51.00000000,4.03451251,230.13,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495209.50,1654495210,0.00
1654495212,4ca765,51.00000000,4.04141379,230.04,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495211.50,1654495212,0.00
1654495214,4ca765,51.00000000,4.04831347,229.99,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495213.50,1654495214,0.00
1654495216,4ca765,51.00000000,4.05521261,229.97,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495215.50,1654495216,0.00
1654495218,4ca765,51.00000000,4.06211394,230.04,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495217.50,1654495218,0.00
1654495220,4ca765,51.00000000,4.06901662,230.09,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495219.50,1654495220,0.00
1654495222,4ca765,51.00000000,4.07591745,230.03,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495221.50,1654495222,0.00
1654495224,4ca765,51.00000000,4.08281787,230.01,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495223.50,1654495224,0.00
1654495226,4ca765,51.00000000,4.08971576,229.93,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495225.50,1654495226,0.00
1654495228,4ca765,51.00000000,4.09661357,229.93,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495227.50,1654495228,0.00
1654495230,4ca765,51.00000000,4.10351075,229.91,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495229.50,1654495230,0.00
1654495232,4ca765,51.00000000,4.11041038,229.99,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495231.50,1654495232,0.00
1654495234,4ca765,51.00000000,4.11730724,229.90,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495233.50,1654495234,0.00
1654495236,4ca765,51.00000000,4.12420615,229.96,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495235.50,1654495236,0.00
1654495238,4ca765,51.00000000,4.13110700,230.03,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495237.50,1654495238,0.00
1654495240,4ca765,51.00000000,4.13800787,230.03,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495239.50,1654495240,0.00
1654495242,4ca765,51.00000000,4.14490926,230.05,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495241.50,1654495242,0.00
1654495244,4ca765,51.00000000,4.15181086,230.05,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495243.50,1654495244,0.00
1654495246,4ca765,51.00000000,4.15870973,229.96,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495245.50,1654495246,0.00
1654495248,4ca765,51.00000000,4.16560600,229.88,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495247.50,1654495248,0.00
1654495250,4ca765,51.00000000,4.17250420,229.94,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495249.50,1654495250,0.00
1654495252,4ca765,51.00000000,4.17940285,229.95,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495251.50,1654495252,0.00
1654495254,4ca765,51.00000000,4.18630107,229.94,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495253.50,1654495254,0.00
1654495256,4ca765,51.00000000,4.19319688,229.86,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495255.50,1654495256,0.00
1654495258,4ca765,51.00000000,4.20009005,229.77,90.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495257.50,1654495258,0.00
1654495260,4ca765,51.00000000,4.20698097,229.70,102.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495259.50,1654495260,0.20
1654495262,4ca765,50.99914029,4.21372198,229.72,102.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495261.50,1654495262,0.00
1654495264,4ca765,50.99828094,4.22046022,229.63,102.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495263.50,1654495264,0.00
1654495266,4ca765,50.99742183,4.22719651,229.56,102.00,0.00,BOUND_TEST,False,False,False,1000,10000.00,10050.00,1654495265.50,1654495266,0.00
