time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,target_score
1654495200,4ca765,51.00000000,4.00000000,230.21,87.27,-0.54,BOUND_TEST,False,False,False,1000,10002.24,10052.24,1654495199.50,1654495200,0.00
1654495202,4ca765,51.00019709,4.00689827,235.28,136.77,14.00,BOUND_TEST,False,False,False,1000,9999.14,10049.14,1654495201.50,1654495202,0.75
1654495204,4ca765,50.99711196,4.01173183,235.54,137.39,0.04,BOUND_TEST,False,False,False,1000,10022.01,10072.01,1654495203.50,1654495204,0.00
1654495206,4ca765,50.99399173,4.01651473,235.19,137.17,0.06,BOUND_TEST,False,False,False,1000,10020.59,10070.59,1654495205.50,1654495206,0.00
1654495208,4ca765,50.99088711,4.02131202,234.97,136.62,-0.09,BOUND_TEST,False,False,False,1000,10017.72,10067.72,1654495207.50,1654495208,0.00
1654495210,4ca765,50.98781347,4.02615227,234.72,137.24,0.11,BOUND_TEST,False,False,False,1000,10025.20,10075.20,1654495209.50,1654495210,0.00
1654495212,4ca765,50.98471231,4.03093250,234.60,137.27,-0.06,BOUND_TEST,False,False,False,1000,10021.41,10071.41,1654495211.50,1654495212,0.00
1654495214,4ca765,50.98160952,4.03570874,234.49,137.32,-0.14,BOUND_TEST,False,False,False,1000,10019.04,10069.04,1654495213.50,1654495214,0.00
1654495216,4ca765,50.97850731,4.04047715,234.45,137.51,0.04,BOUND_TEST,False,False,False,1000,10017.53,10067.53,1654495215.50,1654495216,0.00
1654495218,4ca765,50.97539616,4.04522747,239.39,187.14,14.00,BOUND_TEST,False,False,False,1000,10021.48,10071.48,1654495217.50,1654495218,0.75
1654495220,4ca765,50.97112110,4.04433472,239.13,186.71,0.04,BOUND_TEST,False,False,False,1000,10043.83,10093.83,1654495219.50,1654495220,0.00
1654495222,4ca765,50.96684671,4.04349656,239.44,186.23,-0.15,BOUND_TEST,False,False,False,1000,10040.38,10090.38,1654495221.50,1654495222,0.00
1654495224,4ca765,50.96256264,4.04271711,239.15,186.66,-0.05,BOUND_TEST,False,False,False,1000,10042.06,10092.06,1654495223.50,1654495224,0.00
1654495226,4ca765,50.95828793,4.04188496,239.45,186.37,0.13,BOUND_TEST,False,False,False,1000,10041.17,10091.17,1654495225.50,1654495226,0.00
1654495228,4ca765,50.95400500,4.04108813,239.33,186.69,-0.03,BOUND_TEST,False,False,False,1000,10046.82,10096.82,1654495227.50,1654495228,0.00
1654495230,4ca765,50.94972599,4.04025170,239.43,186.69,-0.06,BOUND_TEST,False,False,False,1000,10047.29,10097.29,1654495229.50,1654495230,0.00
1654495232,4ca765,50.94544505,4.03941459,239.16,186.15,0.00,BOUND_TEST,False,False,False,1000,10045.57,10095.57,1654495231.50,1654495232,0.00
1654495234,4ca765,50.94116538,4.03864661,239.03,186.13,-0.06,BOUND_TEST,False,False,False,1000,10041.78,10091.78,1654495233.50,1654495234,0.00
1654495236,4ca765,50.93688717,4.03788052,239.05,307.21,-0.05,BOUND_TEST,False,False,False,1000,10043.59,10093.59,1654495235.50,1654495236,0.98
1654495238,4ca765,50.93948917,4.03216860,238.80,306.72,-0.01,BOUND_TEST,False,False,False,1000,10045.72,10095.72,1654495237.50,1654495238,0.00
1654495240,4ca765,50.94205911,4.02642629,238.43,306.15,0.12,BOUND_TEST,False,False,False,1000,10042.88,10092.88,1654495239.50,1654495240,0.00
1654495242,4ca765,50.94459086,4.02065142,238.54,306.37,0.02,BOUND_TEST,False,False,False,1000,10045.41,10095.41,1654495241.50,1654495242,0.00
1654495244,4ca765,50.94713734,4.01488908,238.89,305.76,0.06,BOUND_TEST,False,False,False,1000,10041.53,10091.53,1654495243.50,1654495244,0.00
1654495246,4ca765,50.94965003,4.00907377,239.05,305.87,0.08,BOUND_TEST,False,False,False,1000,10046.49,10096.49,1654495245.50,1654495246,0.00
1654495248,4ca765,50.95217144,4.00326145,238.95,306.41,0.14,BOUND_TEST,False,False,False,1000,10041.52,10091.52,1654495247.50,1654495248,0.00
1654495250,4ca765,50.95472485,3.99749200,238.88,308.19,-0.58,BOUND_TEST,False,False,False,1000,10046.52,10096.52,1654495249.50,1654495250,0.00
1654495252,4ca765,50.95738341,3.99185853,239.02,307.54,0.05,BOUND_TEST,False,False,False,1000,10041.67,10091.67,1654495251.50,1654495252,0.00
1654495254,4ca765,50.96000500,3.98617273,238.70,308.12,-0.12,BOUND_TEST,False,False,False,1000,10042.17,10092.17,1654495253.50,1654495254,0.00
1654495256,4ca765,50.96265752,3.98053888,238.63,308.41,-0.14,BOUND_TEST,False,False,False,1000,10040.85,10090.85,1654495255.50,1654495256,0.00
1654495258,4ca765,50.96532614,3.97492959,238.64,309.03,-0.04,BOUND_TEST,False,False,False,1000,10042.63,10092.63,1654495257.50,1654495258,0.00
1654495260,4ca765,50.96803078,3.96936816,238.97,309.55,-0.14,BOUND_TEST,False,False,False,1000,10039.87,10089.87,1654495259.50,1654495260,0.00
1654495262,4ca765,50.97076938,3.96384020,238.76,309.12,0.12,BOUND_TEST,False,False,False,1000,10041.01,10091.01,1654495261.50,1654495262,0.00
1654495264,4ca765,50.97348165,3.95828213,238.62,308.50,0.07,BOUND_TEST,False,False,False,1000,10046.15,10096.15,1654495263.50,1654495264,0.00
1654495266,4ca765,50.97615568,3.95267946,226.64,308.50,-18.00,BOUND_TEST,False,False,False,1000,9742.93,9792.93,1654495265.50,1654495266,0.96
1654495268,4ca765,50.97869531,3.94735840,226.27,308.70,-0.08,BOUND_TEST,False,False,False,1000,10010.70,10060.70,1654495267.50,1654495268,0.00
1654495270,4ca765,50.98124187,3.94206082,226.45,309.13,0.04,BOUND_TEST,False,False,False,1000,10016.55,10066.55,1654495269.50,1654495270,0.00
1654495272,4ca765,50.98381466,3.93679027,226.29,308.59,-0.15,BOUND_TEST,False,False,False,1000,10013.11,10063.11,1654495271.50,1654495272,0.00
1654495274,4ca765,50.98635507,3.93148360,226.17,309.20,-0.14,BOUND_TEST,False,False,False,1000,10011.74,10061.74,1654495273.50,1654495274,0.00
1654495276,4ca765,50.98892822,3.92622609,226.28,309.55,-0.06,BOUND_TEST,False,False,False,1000,10010.27,10060.27,1654495275.50,1654495276,0.00
1654495278,4ca765,50.99152205,3.92099107,226.07,309.14,0.05,BOUND_TEST,False,False,False,1000,10011.05,10061.05,1654495277.50,1654495278,0.00
1654495280,4ca765,50.99409051,3.91573031,225.89,308.48,-0.02,BOUND_TEST,False,False,False,1000,10016.22,10066.22,1654495279.50,1654495280,0.00
1654495282,4ca765,50.99662068,3.91042505,225.94,309.16,-0.06,BOUND_TEST,False,False,False,1000,10010.13,10060.13,1654495281.50,1654495282,0.00
1654495284,4ca765,50.99918836,3.90517045,225.82,309.90,0.13,BOUND_TEST,False,False,False,1000,10011.09,10061.09,1654495283.50,1654495284,0.00
1654495286,4ca765,51.00179580,3.89997324,226.04,310.21,-0.08,BOUND_TEST,False,False,False,1000,10016.40,10066.40,1654495285.50,1654495286,0.00
1654495288,4ca765,51.00442271,3.89479483,226.01,310.95,0.14,BOUND_TEST,False,False,False,1000,10010.27,10060.27,1654495287.50,1654495288,0.00
1654495290,4ca765,51.00708851,3.88967449,226.20,310.96,-0.03,BOUND_TEST,False,False,False,1000,10016.32,10066.32,1654495289.50,1654495290,0.00
1654495292,4ca765,51.00975750,3.88454931,226.45,310.99,0.02,BOUND_TEST,False,False,False,1000,10009.89,10059.89,1654495291.50,1654495292,0.00
1654495294,4ca765,51.01243127,3.87942203,226.64,311.23,-0.03,BOUND_TEST,False,False,False,1000,10014.48,10064.48,1654495293.50,1654495294,0.00
1654495296,4ca765,51.01511998,3.87430797,226.39,310.53,0.06,BOUND_TEST,False,False,False,1000,10015.58,10065.58,1654495295.50,1654495296,0.00
1654495298,4ca765,51.06776835,3.91914516,226.42,310.53,0.05,BOUND_TEST,False,False,False,1000,10013.79,10063.79,1654495297.50,1654495298,0.97
1654495348,4ca765,51.08397639,3.74007745,226.02,308.92,-0.91,BOUND_TEST,False,False,False,1000,10015.20,10065.20,1654495347.50,1654495348,0.00
1654495350,4ca765,51.08653265,3.73480153,226.37,309.20,-0.07,BOUND_TEST,False,False,False,1000,10013.34,10063.34,1654495349.50,1654495350,0.00
1654495352,4ca765,51.08910744,3.72953931,226.66,308.70,0.11,BOUND_TEST,False,False,False,1000,10014.17,10064.17,1654495351.50,1654495352,0.00
1654495354,4ca765,51.09165812,3.72423299,226.99,307.96,-0.03,BOUND_TEST,False,False,False,1000,10012.99,10062.99,1654495353.50,1654495354,0.00
1654495356,4ca765,51.09417141,3.71886436,226.90,307.56,-0.13,BOUND_TEST,False,False,False,1000,10016.02,10066.02,1654495355.50,1654495356,0.00
1654495358,4ca765,51.09666118,3.71346892,226.69,308.24,0.03,BOUND_TEST,False,False,False,1000,10011.30,10061.30,1654495357.50,1654495358,0.00
1654495360,4ca765,51.09918725,3.70812672,226.96,307.60,-0.07,BOUND_TEST,False,False,False,1000,10012.19,10062.19,1654495359.50,1654495360,0.00
1654495362,4ca765,51.10167993,3.70273167,227.05,307.64,0.04,BOUND_TEST,False,False,False,1000,10014.61,10064.61,1654495361.50,1654495362,0.00
1654495364,4ca765,51.10417568,3.69733822,227.24,308.11,0.12,BOUND_TEST,False,False,False,1000,10011.11,10061.11,1654495363.50,1654495364,0.00
1654495366,4ca765,51.10670007,3.69197355,227.35,308.18,-0.04,BOUND_TEST,False,False,False,1000,10011.62,10061.62,1654495365.50,1654495366,0.00
1654495368,4ca765,51.10922924,3.68661226,227.33,308.91,-0.15,BOUND_TEST,False,False,False,1000,10011.80,10061.80,1654495367.50,1654495368,0.00
1654495370,4ca765,51.11179953,3.68130570,227.33,309.12,0.03,BOUND_TEST,False,False,False,1000,10017.68,10067.68,1654495369.50,1654495370,0.00
1654495372,4ca765,51.11438160,3.67601346,227.38,308.97,0.05,BOUND_TEST,False,False,False,1000,10012.25,10062.25,1654495371.50,1654495372,0.00
1654495374,4ca765,51.11695547,3.67070964,227.57,308.86,-0.07,BOUND_TEST,False,False,False,1000,10014.33,10064.33,1654495373.50,1654495374,0.00
1654495376,4ca765,51.11952609,3.66539225,227.62,348.81,6.00,BOUND_TEST,False,False,False,1000,10213.98,10263.98,1654495375.50,1654495376,0.60
1654495378,4ca765,51.12354536,3.66406664,227.81,348.22,0.03,BOUND_TEST,False,False,False,1000,10026.67,10076.67,1654495377.50,1654495378,0.00
1654495380,4ca765,51.12755933,3.66267184,228.13,348.84,-0.03,BOUND_TEST,False,False,False,1000,10025.90,10075.90,1654495379.50,1654495380,0.00
1654495382,4ca765,51.13158751,3.66134713,228.46,348.65,0.12,BOUND_TEST,False,False,False,1000,10020.82,10070.82,1654495381.50,1654495382,0.00
1654495384,4ca765,51.13562019,3.65999840,228.79,348.59,-0.12,BOUND_TEST,False,False,False,1000,10024.88,10074.88,1654495383.50,1654495384,0.00
1654495386,4ca765,51.13965773,3.65864060,228.98,348.15,-0.04,BOUND_TEST,False,False,False,1000,10025.43,10075.43,1654495385.50,1654495386,0.00
1654495388,4ca765,51.14369092,3.65723065,228.81,348.66,-0.05,BOUND_TEST,False,False,False,1000,10019.97,10069.97,1654495387.50,1654495388,0.00
1654495390,4ca765,51.14772990,3.65588105,228.51,348.76,-0.10,BOUND_TEST,False,False,False,1000,10022.83,10072.83,1654495389.50,1654495390,0.00
1654495392,4ca765,51.15176365,3.65454505,228.44,348.64,-0.05,BOUND_TEST,False,False,False,1000,10026.97,10076.97,1654495391.50,1654495392,0.00
1654495394,4ca765,51.15579560,3.65319479,228.13,348.05,-0.02,BOUND_TEST,False,False,False,1000,10026.02,10076.02,1654495393.50,1654495394,0.00
1654495396,4ca765,51.15981263,3.65177765,228.20,348.05,0.02,BOUND_TEST,False,False,False,1000,10022.52,10072.52,1654495395.50,1654495396,0.00
1654495398,4ca765,51.16383165,3.65036019,227.86,350.44,-0.60,BOUND_TEST,False,False,False,1000,10023.14,10073.14,1654495397.50,1654495398,0.00
1654495400,4ca765,51.16787690,3.64922492,227.89,350.22,-0.02,BOUND_TEST,False,False,False,1000,10018.95,10068.95,1654495399.50,1654495400,0.00
1654495402,4ca765,51.17191947,3.64806348,228.23,350.39,0.07,BOUND_TEST,False,False,False,1000,10019.80,10069.80,1654495401.50,1654495402,0.00
1654495404,4ca765,51.17597083,3.64692069,228.13,351.07,0.09,BOUND_TEST,False,False,False,1000,10025.21,10075.21,1654495403.50,1654495404,0.00
1654495406,4ca765,51.18002811,3.64585808,228.45,350.97,0.11,BOUND_TEST,False,False,False,1000,10025.25,10075.25,1654495405.50,1654495406,0.00
1654495408,4ca765,51.18408905,3.64478218,228.49,351.18,-0.14,BOUND_TEST,False,False,False,1000,10025.19,10075.19,1654495407.50,1654495408,0.00
1654495410,4ca765,51.18815315,3.64373148,228.50,351.13,-0.02,BOUND_TEST,False,False,False,1000,10024.33,10074.33,1654495409.50,1654495410,0.00
1654495412,4ca765,51.19221733,3.64267427,228.15,351.48,0.12,BOUND_TEST,False,False,False,1000,10019.45,10069.45,1654495411.50,1654495412,0.00
1654495414,4ca765,51.19627818,3.64165990,228.25,352.14,-0.09,BOUND_TEST,False,False,False,1000,10021.65,10071.65,1654495413.50,1654495414,0.00
1654495416,4ca765,51.20034743,3.64072373,228.49,352.83,0.01,BOUND_TEST,False,False,False,1000,10023.95,10073.95,1654495415.50,1654495416,0.00
1654495418,4ca765,51.20442883,3.63986751,228.82,353.06,0.06,BOUND_TEST,False,False,False,1000,10019.90,10069.90,1654495417.50,1654495418,0.00
1654495420,4ca765,51.20851811,3.63903808,228.98,352.70,-0.09,BOUND_TEST,False,False,False,1000,10022.50,10072.50,1654495419.50,1654495420,0.00
1654495422,4ca765,51.21260703,3.63816505,229.16,353.44,0.14,BOUND_TEST,False,False,False,1000,10022.22,10072.22,1654495421.50,1654495422,0.00
1654495424,4ca765,51.21670533,3.63738012,228.90,352.97,-0.10,BOUND_TEST,False,False,False,1000,10023.68,10073.68,1654495423.50,1654495424,0.00
1654495426,4ca765,51.22079501,3.63653940,228.91,352.25,0.12,BOUND_TEST,False,False,False,1000,10024.08,10074.08,1654495425.50,1654495426,0.00
1654495428,4ca765,51.22487801,3.63561311,229.03,351.70,0.10,BOUND_TEST,False,False,False,1000,10019.13,10069.13,1654495427.50,1654495428,0.00
1654495430,4ca765,51.22895721,3.63462184,229.40,352.01,0.13,BOUND_TEST,False,False,False,1000,10020.30,10070.30,1654495429.50,1654495430,0.00
1654495432,4ca765,51.23304560,3.63366599,229.67,351.75,-0.09,BOUND_TEST,False,False,False,1000,10022.85,10072.85,1654495431.50,1654495432,0.00
1654495434,4ca765,51.23713697,3.63267712,229.43,352.23,-0.09,BOUND_TEST,False,False,False,1000,10019.47,10069.47,1654495433.50,1654495434,0.00
1654495436,4ca765,51.24122968,3.63174646,229.88,352.43,-0.09,BOUND_TEST,False,False,False,1000,10023.81,10073.81,1654495435.50,1654495436,0.00
1654495438,4ca765,51.24533051,3.63083785,229.83,473.01,-0.07,BOUND_TEST,False,False,False,1000,10022.59,10072.59,1654495437.50,1654495438,0.98
1654495440,4ca765,51.24371348,3.63718370,229.68,113.33,-0.08,BOUND_TEST,False,False,False,1000,10022.87,10072.87,1654495439.50,1654495440,0.00
1654495442,4ca765,51.24207618,3.64351216,229.60,113.68,0.11,BOUND_TEST,False,False,False,1000,10018.96,10068.96,1654495441.50,1654495442,0.00
1654495444,4ca765,51.24041569,3.64982118,229.54,113.56,0.13,BOUND_TEST,False,False,False,1000,10023.16,10073.16,1654495443.50,1654495444,0.00
1654495446,4ca765,51.23876424,3.65613219,229.61,114.21,0.05,BOUND_TEST,False,False,False,1000,10019.37,10069.37,1654495445.50,1654495446,0.00
1654495448,4ca765,51.23706948,3.66241549,229.67,115.15,-0.44,BOUND_TEST,False,False,False,1000,10021.10,10071.10,1654495447.50,1654495448,0.00
1654495450,4ca765,51.23531263,3.66865168,229.41,115.45,-0.12,BOUND_TEST,False,False,False,1000,10023.78,10073.78,1654495449.50,1654495450,0.00
