time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,target_score
1654495200,4ca765,51.00000000,4.00000000,230.00,90.00,-0.01,TEST123,False,False,False,0100,10000.00,10050.00,1654495199.50,1654495200,0.00
1654495202,4ca765,50.99999994,4.00690007,229.98,90.00,-0.02,TEST123,False,False,False,0100,9999.98,10049.98,1654495201.50,1654495202,0.00
1654495204,4ca765,50.99999974,4.01379959,229.98,90.00,-0.03,TEST123,False,False,False,0100,9999.93,10049.93,1654495203.50,1654495204,0.00
1654495206,4ca765,50.99999983,4.02069890,229.99,90.00,-0.05,TEST123,False,False,False,0100,9999.87,10049.87,1654495205.50,1654495206,0.00
1654495208,4ca765,51.00000011,4.02759858,230.00,90.00,-0.06,TEST123,False,False,False,0100,9999.78,10049.78,1654495207.50,1654495208,0.00
1654495210,4ca765,50.99999986,4.03449855,230.01,90.00,-0.08,TEST123,False,False,False,0100,9999.65,10049.65,1654495209.50,1654495210,0.00
1654495212,4ca765,50.99999967,4.04139886,230.01,90.00,-0.08,TEST123,False,False,False,0100,9999.49,10049.49,1654495211.50,1654495212,0.00
1654495214,4ca765,50.99999967,4.04829904,230.00,90.00,-0.07,TEST123,False,False,False,0100,9999.33,10049.33,1654495213.50,1654495214,0.00
1654495216,4ca765,50.99999980,4.05519918,230.00,90.00,-0.08,TEST123,False,False,False,0100,9999.20,10049.20,1654495215.50,1654495216,0.00
1654495218,4ca765,50.99999948,4.06209925,230.02,90.01,-0.06,TEST123,False,False,False,0100,9999.04,10049.04,1654495217.50,1654495218,0.00
1654495220,4ca765,50.99999897,4.06899980,230.04,90.01,-0.05,TEST123,False,False,False,0100,9998.92,10048.92,1654495219.50,1654495220,0.00
1654495222,4ca765,50.99999802,4.07590090,230.04,90.02,-0.04,TEST123,False,False,False,0100,9998.82,10048.82,1654495221.50,1654495222,0.00
1654495224,4ca765,50.99999658,4.08280223,230.05,90.02,-0.03,TEST123,False,False,False,0100,9998.74,10048.74,1654495223.50,1654495224,0.00
1654495226,4ca765,50.99999520,4.08970370,230.05,90.03,-0.03,TEST123,False,False,False,0100,9998.67,10048.67,1654495225.50,1654495226,0.00
1654495228,4ca765,50.99999337,4.09660506,230.05,90.03,-0.01,TEST123,False,False,False,0100,9998.62,10048.62,1654495227.50,1654495228,0.00
1654495230,4ca765,50.99999117,4.10350664,230.07,90.03,-0.03,TEST123,False,False,False,0100,9998.59,10048.59,1654495229.50,1654495230,0.00
1654495232,4ca765,50.99998893,4.11040878,230.08,90.03,-0.02,TEST123,False,False,False,0100,9998.53,10048.53,1654495231.50,1654495232,0.00
1654495234,4ca765,50.99998664,4.11731112,230.07,90.04,-0.01,TEST123,False,False,False,0100,9998.48,10048.48,1654495233.50,1654495234,0.00
